"Id","Titulo_P","Subtitulo_P","Descripcion","Valor","Marca","Categoria","Subcategoria","Sub_sub_categoria","URL_Redireccion","URL_Imagen_Principal","URL_Imagen_2","URL_Imagen_3","URL_Imagen_4","URL_Imagen_5","Tienda"
13913,"Pelela Mickey 3 en 1","Pelela, reductor de inodoro o banquito","Pelela de plástico 3 en 1 con motivos de Mickey. Puede utilizarse como una pelela clásica, o bien si se gira puede usarse como un escalón para que el niño pueda alcanzar lugares mas elevados.
Por otro lado, la cubierta principal es desmontable, y permite que este producto se transforme facilmente en reductor de inodoro.","$ 559,00","Disney","Mundo Bebé","Baño","Pelelas","http://www.carrefour.com.ar/mundo-bebe/banio/pelelas/bacinilla-mickey.html","http://cdn.carrefour.com.ar/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/7/7/7798004835737-3_1.jpg",,,,,"Carrefour"
13915,"Pelela Peppa Pig 3 en 1","Práctica en sus tres funciones: pelela, reductor de inodoro o banquito","Pelela de plástico 3 en 1 con motivos de Peppa Pig. Puede utilizarse como una pelela clásica, o bien si se gira puede usarse como un escalón para que el niño pueda alcanzar lugares mas elevados. Por otro lado, la cubierta principal es desmontable, y permite que este producto se transforme facilmente en reductor de inodoro.","$ 559,00","Disney","Mundo Bebé","Baño","Pelelas","http://www.carrefour.com.ar/mundo-bebe/banio/pelelas/bacinilla-peppa-pig.html","http://cdn.carrefour.com.ar/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/7/7/7798004835782-2.jpg",,,,,"Carrefour"
13914,"Pelela Minnie 3 en 1","Práctica en sus tres funciones: pelela, reductor de inodoro o banquito","Pelela de plástico 3 en 1 con motivos de Minnie. Puede utilizarse como una pelela clásica, o bien si se gira puede usarse como un escalón para que el niño pueda alcanzar lugares mas elevados. Por otro lado, la cubierta principal es desmontable, y permite que este producto se transforme facilmente en reductor de inodoro.","$ 559,00","Disney","Mundo Bebé","Baño","Pelelas","http://www.carrefour.com.ar/mundo-bebe/banio/pelelas/bacinilla-minnie.html","http://cdn.carrefour.com.ar/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/7/7/7798004835751-4_1.jpg",,,,,"Carrefour"
13916,"Pelela Princesas 3 en 1","Práctica en sus tres funciones: pelela, reductor de inodoro o banquito","Pelela de plástico 3 en 1 con motivos de Princesas. Puede utilizarse como una pelela clásica, o bien si se gira puede usarse como un escalón para que el niño pueda alcanzar lugares mas elevados. Por otro lado, la cubierta principal es desmontable, y permite que este producto se transforme facilmente en reductor de inodoro.","$ 559,00","Disney","Mundo Bebé","Baño","Pelelas","http://www.carrefour.com.ar/mundo-bebe/banio/pelelas/bacinilla-princesas.html","http://cdn.carrefour.com.ar/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/7/7/7798004835799-3.jpg",,,,,"Carrefour"
13470,"Cortabarba Philips BT7201/15","Material Cuchillas: Acero Inoxidable. Posiciones de Corte: 20. Cantidad de Cabezales: 1. Flotación de Cabezales: Fijo. Corta Patillas.","Recortate la barba, el bigote y las patillas sin ensuciar nada. Su potente sistema de aspiración va capturando el vello mientras recortás, de forma sencilla y limpia. Recortate la barba en una sola pasada. Nuestro innovador sistema Lift & Trim levanta el vello y lo guía hacia las cuchillas de acero inoxidable con doble afilado. El resultado es un afeitado o barba corta uniforme en una sola pasada. Cuchillas de acero inoxidable con doble afilado para recortar más rápidoLas resistentes cuchillas de acero cuentan con un doble afilado para ofrecer gran durabilidad y cortar hasta el vello más grueso. Además, se afilan automáticamente al rozarse entre ellas durante el recorte. Seleccioná la longitud de corte girando la rueda de ajuste del mango hasta que veas la medida que deseas, desde 0,5 hasta 10 mm, con una precisión de 0,5 mm. La longitud elegida quedará ""bloqueada"" para un corte perfectamente uniforme","$ 1.399,00","Philips","Cuidado Personal y Salud","Cuidado del Hombre","Cortabarbas","http://www.carrefour.com.ar/cuidado-personal-y-salud/cuidado-del-hombre/cortabarbas/cortabarba-con-aspirador-philips-mod-bt.html","http://cdn.carrefour.com.ar/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/t/bt7201-1.jpg",,,,,"Carrefour"
9160,"Termómetro Digital Infrarrojo Aspen FDIR-V1","Termómetro FDIR-V1 de Aspen. Es para oído o frente y da una lectura rápida en solo segundos.","Termómetro FDIR-V1 de Aspen. Es para oído o frente y da una lectura rápida en solo segundos. Ideal para niños y bebés. Medición de la temperatura ambiente e incluye la función reloj.","$ 675,00","Aspen","Mundo Bebé","Cuidado del Bebé","Termómetros","http://www.carrefour.com.ar/mundo-bebe/cuidado-del-bebe/termometros/termometro-digital-infrarrojo-aspen-mod.html","http://cdn.carrefour.com.ar/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/7/7/7790808036563_1.jpg",,,,,"Carrefour"
13877,"Bañera Nowy Baby Ergoflex Magenta","Profundidad e inclinación ajustable. Patas antideslizantes","Bañera Nowy Baby Ergoflex. Realizada con materiales rígidos y flexibles, ergoflex® permite ajustar su profundidad e inclinación para brindar seguridad y ergonomía a los niños y a su vez facilitar la tarea de los papás. Posee patas antideslizantes y está confeccionada con material suave y confortable de secado rápido y bajo las normas de la comunidad europea.","$ 1.519,00","Lidercar SA","Mundo Bebé","Baño","Bañeras","http://www.carrefour.com.ar/mundo-bebe/banio/ba-eras/ba-era-ergoflex-magenta.html","http://cdn.carrefour.com.ar/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/7/3/737590285455.jpg",,,,,"Carrefour"
13912,"Pelela Henry El Monstruito 3 en 1","Práctica en sus tres funciones: pelela, reductor de inodoro o banquito","Pelela de plástico 3 en 1 con motivos de Henry el Monstruito. Puede utilizarse como una pelela clásica, o bien si se gira puede usarse como un escalón para que el niño pueda alcanzar lugares mas elevados.
Por otro lado, la cubierta principal es desmontable, y permite que este producto se transforme facilmente en reductor de inodoro.","$ 559,00","Disney","Mundo Bebé","Baño","Pelelas","http://www.carrefour.com.ar/mundo-bebe/banio/pelelas/bacinilla-henry-el-monstruito.html","http://cdn.carrefour.com.ar/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/7/7/7798004835720-4.jpg",,,,,"Carrefour"
7102,"Cortabarba Braun CRUZ6BH","La Cortabarba Braun CRUZ6BH posee Corta Patillas, Indicador luminoso de carga completa y bateria recargable.","La Cortabarba Braun CRUZ6BH posee Corta Patillas, Indicador luminoso de carga completa y bateria recargable.","$ 1.129,00","Braun","Cuidado Personal y Salud","Cuidado del Hombre","Cortabarbas","http://www.carrefour.com.ar/cuidado-personal-y-salud/cuidado-del-hombre/cortabarbas/cortabarba-braun-cruz6bh.html","http://cdn.carrefour.com.ar/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/4/2/4210201045564.jpg",,,,,"Carrefour"
8745,"Corta Cabello Remington Pro Power HC52","Motor Pro Power, Cuchillas de acero avanzado, Cuchillas autoafilables, 2 peines ajustables (3-42 mm)","Este ingenioso cortapelo, inteligente y estilizado, se ha dotado de un motor Pro Power y de avanzadas cuchillas de acero autoafilables. Los dos peines ajustables te permiten elegir la longitud óptima de recorte entre 3 y 42 mm, para que siempre definas tu propio estilo.","$ 929,00","Remington","Cuidado Personal y Salud","Cuidado del Hombre","Cortacabellos","http://www.carrefour.com.ar/cuidado-personal-y-salud/cuidado-del-hombre/cortacabellos/cortapelo-remington-pro-power-mod-hc52.html","http://cdn.carrefour.com.ar/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/7/4/74590534559.jpg",,,,,"Carrefour"
7099,"Corta Barba Philips QG3340/16","La Corta Barba Philips QG3340/16 es recargable, es resistente al agua y su batería resiste hasta 35 minutos.","La Corta Barba Philips QG3340/16 es Recargable, posee peine de barba y bigote con 18 posiciones, ademas de ser resistente al agua dando la posibilidad de un lavado mas cómodo. Permanece en funcionamiento hasta 35 minutos sin cable luego de una carga de horas.","$ 1.099,00","Philips","Cuidado Personal y Salud","Cuidado del Hombre","Cortacabellos","http://www.carrefour.com.ar/cuidado-personal-y-salud/cuidado-del-hombre/cortacabellos/corta-barba-philips-qg3340-16-8710103620419.html","http://cdn.carrefour.com.ar/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/8/7/8710103620419.jpg",,,,,"Carrefour"
9107,"Cortabarba y Modelador Remington MB4110.","Material Cuchillas Revestidas de Titanio. Posiciones de Corte 15 (de 0.4 a 5.5 Milimetros). Un cabezal. Lavable con agua. Indicador Luminoso de Carga Completa Sí (Hasta 40 minutos en uso inalámbrico ). Tipo de Alimentación: Bateria recargable (Uso con cable o inalámbrico).","Material Cuchillas Revestidas de Titanio. Posiciones de Corte 15 (de 0.4 a 5.5 Milimetros). Un cabezal. Lavable con agua. Indicador Luminoso de Carga Completa Sí (Hasta 40 minutos en uso inalámbrico ). Tipo de Alimentación: Bateria recargable (Uso con cable o inalámbrico).","$ 999,00","Remington","Cuidado Personal y Salud","Cuidado del Hombre","Cortabarbas","http://www.carrefour.com.ar/cuidado-personal-y-salud/cuidado-del-hombre/cortabarbas/cortabarba-y-modelador-remington-mod-mb.html","http://cdn.carrefour.com.ar/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/7/4/74590536188.jpg",,,,,"Carrefour"
7098,"Cortabarba Philips QG3320/15","La Cortabarba Philips QG3320/15 es Recargable, posee peine de barba y bigote con 18 posiciones, ademas de ser resistente al agua dando la posibilidad de un lavado mas cómodo.","La Cortabarba Philips QG3320/15 es Recargable, posee peine de barba y bigote con 18 posiciones, ademas de ser resistente al agua dando la posibilidad de un lavado mas cómodo.","$ 849,00","Philips","Cuidado Personal y Salud","Cuidado del Hombre","Cortabarbas","http://www.carrefour.com.ar/cuidado-personal-y-salud/cuidado-del-hombre/cortabarbas/corta-barba-philips-qg3320-15.html","http://cdn.carrefour.com.ar/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/8/7/8710103620389.jpg",,,,,"Carrefour"
13446,"Cortabarba Remington VPG6530","Material Cuchillas: Acero Inoxidable. Posiciones de Corte: 13. Flotación de Cabezales: Individual. Indicador Luminoso de Carga Completa.","Kit cortador de vello c/aspirador. Sist.avanzado de potencia- doble engranaje. Cabezales p/recortar rápidamente- detallar- afeitar y eliminar el vello acumulado. Peine ajustable c/9 posic.+4 peines de largo definido. Cuchilas de acero inoxidables autoafilables. Aspas de ventilador de alta velocidadLithium Power, batería de larga duración para 50 minutos de usoCuchillas en acero inoxidable auto afilables para recortar con precisiónRecipiente para pelo removibleEl indicador de batería L.E.D.","$ 999,00","Remington","Cuidado Personal y Salud","Cuidado del Hombre","Cortabarbas","http://www.carrefour.com.ar/cuidado-personal-y-salud/cuidado-del-hombre/cortabarbas/cortabarba-con-aspirador-remington-mod.html","http://cdn.carrefour.com.ar/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/7/4/74590534573-2.jpg",,,,,"Carrefour"
9108,"Cortabarba y Modelador Remington PG6020B","Cantidad de Accesorios 8 (+ Cargador). Cuchillas Autoafilables. Material Cuchillas Acero Quirúgico. Largos de Corte 8. Una posición de corte.  Recorta Barba. Recargable Sí (Hasta 36 Minutos). Tipo de Alimentación Bateria Recargable.","Cantidad de Accesorios 8 (+ Cargador). Cuchillas Autoafilables. Material Cuchillas Acero Quirúgico. Largos de Corte 8. Una posición de corte.  Recorta Barba. Recargable Sí (Hasta 36 Minutos). Tipo de Alimentación Bateria Recargable.","$ 799,00","Remington","Cuidado Personal y Salud","Cuidado del Hombre","Cortabarbas","http://www.carrefour.com.ar/cuidado-personal-y-salud/cuidado-del-hombre/cortabarbas/cortabarba-y-modelador-remington-mod-pg.html","http://cdn.carrefour.com.ar/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/7/4/74590536249_1.jpg",,,,,"Carrefour"
14517,"Cortapelo Atma CB8824E Negro","Corta pelo y recorta barba. 6 posiciones de largo, de 4 a 30mm.","Corta pelo y recorta barba. 6 posiciones de largo, de 4 a 30mm. Medida de corte de 0.8 a 2.8mm. Cuchilla de acero inoxidable. 60 minutos de funcionamiento. 8 horas de tiempo de carga","$ 619,00","ATMA","Cuidado Personal y Salud","Cuidado del Hombre","Cortacabellos","http://www.carrefour.com.ar/cuidado-personal-y-salud/cuidado-del-hombre/cortacabellos/cortapelo-atma-mod-cb8824e.html","http://cdn.carrefour.com.ar/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/7/7/7798180582944-1.jpg",,,,,"Carrefour"
14006,"Cortabarba Philips QT4005/15","La manera más cómoda de empezar con su barba. 10 h de carga/45 min de uso sin cable. Ajuste de precisión de 0,5 mm. Cuchillas de acero inoxidable.","Utilizá el recortador en la primera posición para obtener una barba corta perfecta de solo 0,5 mm. Girá la rueda para seleccionar y bloquear de forma sencilla la posición que desees: desde barba de 3 días de 0,5 mm hasta barba completa de 10 mm, en intervalos precisos de 0,5 mm. Las cuchillas permanecen muy afiladas para cortar siempre el vello perfectamente y de forma eficaz, pero cuentan con puntas redondeados para evitar la irritación. Fácil de sostener y usar, se ha diseñado para ayudarte a recortar las zonas de difícil acceso. Solo recargable. Hasta 45 minutos de uso sin cable luego de 10 horas de carga. Desmontá la cabeza y enjuagala bajo con agua para limpiarla fácilmente. Secala antes de volver a colocarla en el aparato.","$ 699,00","Philips","Cuidado Personal y Salud","Cuidado del Hombre","Cortabarbas","http://www.carrefour.com.ar/cuidado-personal-y-salud/cuidado-del-hombre/cortabarbas/cortabarba-philips-mod-qt4005-15.html","http://cdn.carrefour.com.ar/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/8/7/8710103622888.jpg",,,,,"Carrefour"
7096,"Corta Cabello Philips QC5560/15","La Corta Pelo Philips QC5560/15 posee cabezal con giro de 180 grados, 8 posiciones de largo desde 0,5 a 15 mm, ademas de sistema de energía eficiente.","La Corta Pelo Philips QC5560/15 posee cabezal con giro de 180 grados, 8 posiciones de largo desde 0,5 a 15 mm, ademas de sistema de energía eficiente.","$ 799,00","Philips","Cuidado Personal y Salud","Cuidado del Hombre","Cortacabellos","http://www.carrefour.com.ar/cuidado-personal-y-salud/cuidado-del-hombre/cortacabellos/corta-pelo-philips-qc5560-15.html","http://cdn.carrefour.com.ar/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/8/7/8710103625650.jpg",,,,,"Carrefour"
14316,"Cortabarba Philips BT1000/15","Philips Beardtrimmer series 1000 Cortabarba BT1000/15 Cortabarba Pro Skin, 4 posiciones de longitud integradas, funciona con baterías AA, hasta 2 meses de uso","Los cortabarba Philips serie 1000 siempre proporcionan resultados de recorte suave. Un juego de baterías permite utilizar el recortador durante hasta dos meses. Puntas redondeadas para un suave contacto con la piel. Posiciones de longitud desde 1,5 mm hasta 7mm, 0,5 mm sin el peine. El peine se ajusta a las curvas para un corte preciso y parejo. Hasta 120 min de uso inalámbrico. 2 años de garantía mundial; no necesita lubricación. Cabezal con apertura a presión que facilita la limpieza con el cepillo adicional","$ 349,00","Philips","Cuidado Personal y Salud","Cuidado del Hombre","Cortabarbas","http://www.carrefour.com.ar/cuidado-personal-y-salud/cuidado-del-hombre/cortabarbas/cortabarba-philips-mod-bt1000-15.html","http://cdn.carrefour.com.ar/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/8/7/8710103730415-1.jpg",,,,,"Carrefour"
7960,"Corta Cabello Philips Dualcut HC5410/15","La Corta Pelo HC5410/15 está construida para durar y para llevar a cabo un diseño único. El elemento de corte innovador, cuchillas de acero inoxidable corta barba y cabello, peines ajustables que están diseñados para darle un rápido y fuerte recorte.","La Corta Pelo HC5410/15 está construida para durar y para llevar a cabo un diseño único. El elemento de corte innovador, cuchillas de acero inoxidable corta barba y cabello, peines ajustables que están diseñados para darle un rápido y fuerte recorte.","$ 799,00","Philips","Cuidado Personal y Salud","Cuidado del Hombre","Cortacabellos","http://www.carrefour.com.ar/cuidado-personal-y-salud/cuidado-del-hombre/cortacabellos/cortapelo-philips-dualcut-mod-hc5410-15.html","http://cdn.carrefour.com.ar/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/8/7/8710103674610.jpg",,,,,"Carrefour"
7105,"Corta Cabello Ga.Ma GC 545","La Corta Cabello GA.MA GC 545 posee peine de alzada integrado. 6 posiciones diferentes para un corte preciso. Función entresacado y bateria recargable. Cuenta con una autonomía de 60 minutos.","La Corta Cabello GA.MA GC 545 posee peine de alzada integrado. 6 posiciones diferentes para un corte preciso. Función entresacado y bateria recargable. Cuenta con una autonomía de 60 minutos.","$ 699,00","Ga.Ma","Cuidado Personal y Salud","Cuidado del Hombre","Cortacabellos","http://www.carrefour.com.ar/cuidado-personal-y-salud/cuidado-del-hombre/cortacabellos/corta-cabello-nano-silver-ga-ma-gc-545.html","http://cdn.carrefour.com.ar/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/8/0/8023277106840.jpg",,,,,"Carrefour"
14590,"Combo Cortapelo Remington HC5120 + Cuaderno","Set cortapelo de 22 piezas - Cuaderno de regalo","Kit Cortapelo con potente motor y nueva tecnología de corte con láminas de corte 100% lineal. Cuchillas de acero quirúrgico afiladas de larga duración, con diseño especial ""Pro-Groove"" para un corte suave y uniforme. Cuchillas de precisión de 0.5mm para un acabado perfecto. El set incluye 22 piezas. Uso con cable, necesita alimentación constante. Viene con un cuaderno de regalo.","$ 799,00","Remington","Cuidado Personal y Salud","Cuidado del Hombre","Cortacabellos","http://www.carrefour.com.ar/cuidado-personal-y-salud/cuidado-del-hombre/cortacabellos/combo-cortapelo-remington-mod-hc-5120.html","http://cdn.carrefour.com.ar/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/7/4/74590547870.jpg",,,,,"Carrefour"
7108,"Corta Cabello Philips QC5115/15","11 posiciones de largo con bloqueo de 3 a 21 mm o 0,5 mm sin peine","La Corta Pelo Philips QC5115/15 posee cabezal con apertura a presión que facilita la limpieza, 11 posiciones de largo con bloqueo de 3 a 21 mm o 0,5 mm sin peine, ademas de ofrecer un rendimiento silencioso y potente.","$ 599,00","Philips","Cuidado Personal y Salud","Cuidado del Hombre","Cortacabellos","http://www.carrefour.com.ar/cuidado-personal-y-salud/cuidado-del-hombre/cortacabellos/corta-cabello-philips-qc5115-15.html","http://cdn.carrefour.com.ar/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/8/7/8710103531012.jpg",,,,,"Carrefour"
9124,"Cortapelo Lcd GA.MA GC572","Cortadora Pelo Inalámbrica con 8 peines alzada Gama GC572","Regulador de entresacado que permite levantar el cabello al momento de corte, entresacando el mismo durante cada una de las pasadas. Cuenta con una autonomía de 60 minutos. Permite utilizar la cortadora en forma inalámbrica o bien conectada a la red de alimentación (recargable). Permite lograr distintos largos con un solo accesorio. La cuchilla es de acero inoxidable.","$ 1.299,00","Ga.Ma","Cuidado Personal y Salud","Cuidado del Hombre","Cortacabellos","http://www.carrefour.com.ar/cuidado-personal-y-salud/cuidado-del-hombre/cortacabellos/cortapelo-lcd-ga-ma-mod-gc572.html","http://cdn.carrefour.com.ar/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/8/0/8023277116757.jpg",,,,,"Carrefour"
